date,cost_act,cost_ml_eval,month
2025-03-11,4.12578160311915,4.130863876036001,2025-03
2025-03-12,4.911383927474512,4.918849097502623,2025-03
2025-03-13,4.355903523343532,4.442102775442958,2025-03
2025-03-14,5.938392387166375,6.020871710960004,2025-03
2025-03-15,2.1960045126229604,2.73894906471603,2025-03
2025-03-16,2.4354813209057014,2.6942303259635025,2025-03
2025-03-17,3.10842450526787,3.1335464651936005,2025-03
2025-03-18,2.2754277108263485,2.8082000219053844,2025-03
2025-03-19,3.532672002087248,3.803163746026516,2025-03
2025-03-20,2.7498424696898636,3.0187930134970657,2025-03
2025-03-21,3.025169934338046,3.140665820492785,2025-03
2025-03-22,2.809703272496108,2.947634530896893,2025-03
2025-03-23,4.082914501448094,4.278097648934223,2025-03
2025-03-24,2.0662285372236715,2.333333726735718,2025-03
2025-03-25,2.2469344678795666,2.680137261918019,2025-03
2025-03-26,3.8594876868721792,3.8605764992052016,2025-03
2025-03-27,2.697720599989215,2.860683196031804,2025-03
2025-03-28,4.537843798457171,4.695287237566437,2025-03
2025-03-29,1.8779034882084074,2.4239202213506075,2025-03
2025-03-31,2.44086733206644,2.836589177296263,2025-03
2025-04-01,1.7747449859053928,2.2064009294744205,2025-04
2025-04-02,2.6704160546739666,2.837145556900756,2025-04
2025-04-03,2.791737203034913,3.0523646575301484,2025-04
2025-04-04,2.945015003085239,3.413209602562948,2025-04
2025-04-05,2.6384754305532,3.0042842442616293,2025-04
2025-04-06,1.7598656493366767,2.1342899473147363,2025-04
2025-04-07,1.9729589981511229,2.348143241590124,2025-04
2025-04-08,2.077170475414092,2.261452964368252,2025-04
2025-04-09,2.0163031531655755,2.142176001054964,2025-04
2025-04-10,3.021345833073286,3.100321773012129,2025-04
2025-04-11,2.1254911850351985,2.653061094486108,2025-04
2025-04-12,2.261773694910627,2.5643898208713676,2025-04
2025-04-13,3.130188646470136,3.418518120650482,2025-04
2025-04-14,1.6880221093202905,1.9882705614510825,2025-04
2025-04-15,2.8424245272028164,3.2048795406567154,2025-04
2025-04-16,3.790933651780624,3.9321289105868114,2025-04
2025-04-17,4.455452542947968,4.521183120873766,2025-04
2025-04-18,2.212466554755649,2.5566948879728524,2025-04
2025-04-19,1.652076449707634,1.9445693642541149,2025-04
2025-04-20,4.85254803858263,5.016886557532118,2025-04
2025-04-21,2.943245099641985,3.1786063557527178,2025-04
